cast_id,platform,year,month,obs_date,lat,lon,model_grid_lat,model_grid_lon,model_grid_distance_km,obs_ohc_j_m2,obs_tchp_kj_cm2,obs_d26_m,model_ohc_j_m2,model_tchp_kj_cm2,model_d26_m,delta_ohc_j_m2,delta_tchp_kj_cm2
aoml/4903563/profiles/D4903563_033.nc,4903563,2024,2,20240221,20.33,-81.873,20.357627868652344,-81.8399658203125,4.615,353226850.2958835,35.32268502958835,138.03251660135962,108687948.60128973,10.868794860128974,74.19048343925613,244538901.69459373,24.453890169459378
aoml/4903622/profiles/R4903622_089.nc,4903622,2024,2,20240221,21.134,-95.681,21.105819702148438,-95.679931640625,3.135,,,,,,,,
aoml/4903240/profiles/D4903240_349.nc,4903240,2024,3,20240302,25.205,-95.143,25.223424911499023,-95.1199951171875,3.091,,,,,,,,
aoml/4903248/profiles/D4903248_334.nc,4903248,2024,3,20240302,26.169,-91.527,26.16059112548828,-91.52001953125,1.166,,,,,,,,
aoml/4903356/profiles/D4903356_212.nc,4903356,2024,3,20240302,28.247,-88.962,28.224010467529297,-88.9599609375,2.564,,,,,,,,
aoml/4903466/profiles/D4903466_102.nc,4903466,2024,3,20240302,23.259,-84.525,23.25398063659668,-84.56005859375,3.625,11032474.001765978,1.1032474001765977,37.79641246530767,15724908.474478746,1.5724908474478745,30.818345323741006,-4692434.472712768,-0.46924344727127676
aoml/4903468/profiles/D4903468_105.nc,4903468,2024,3,20240302,26.517,-86.287,26.519062042236328,-86.320068359375,3.298,125062790.67733021,12.50627906773302,101.38832982971394,68226521.28612211,6.822652128612211,56.09171868166819,56836269.3912081,5.683626939120809
aoml/4903471/profiles/D4903471_102.nc,4903471,2024,3,20240302,28.997,-87.448,28.996549606323242,-87.43994140625,0.785,,,,,,,,
aoml/4903546/profiles/D4903546_054.nc,4903546,2024,3,20240302,25.668,-90.368,25.656879425048828,-90.4000244140625,3.44,,,,,,,,
aoml/4903548/profiles/D4903548_054.nc,4903548,2024,3,20240302,26.277,-86.132,26.304113388061523,-86.1600341796875,4.111,,,,,,,,
aoml/4903549/profiles/D4903549_054.nc,4903549,2024,3,20240302,25.827,-89.054,25.801015853881836,-89.0400390625,3.21,153023668.74222004,15.302366874222004,58.725589485102276,,,,,
