target,macro_region,patch_lat0,patch_lon0,patch_label,rows,dates,raw_rmse,raw_mae,raw_bias,raw_corr,corrected_rmse,corrected_mae,corrected_bias,corrected_corr,mae_improvement,rmse_improvement
tchp,pacific,0,-160,"lat[0,20) lon[-160,-140)",220,54,17.55514693910848,13.11018622054733,-11.465304648079428,0.8841834717804261,13.616649987031925,10.149971813414306,5.035893537765429,0.8909854208942225,2.9602144071330247,3.9384969520765534
tchp,pacific,0,140,"lat[0,20) lon[140,160)",207,52,40.538560521013366,36.1081257525765,-34.3936402993801,0.7291529252864508,21.97434764241159,17.18887635818332,-7.65644887452655,0.7681953456108778,18.919249394393177,18.564212878601776
tchp,pacific,-20,-140,"lat[-20,0) lon[-140,-120)",139,41,13.62516674364737,10.58509952530087,-9.541604675794787,0.8837145572108671,9.765643927180868,7.417056219013215,1.2444331794843164,0.8888165474911985,3.1680433062876556,3.8595228164665016
tchp,pacific,-20,-160,"lat[-20,0) lon[-160,-140)",130,47,22.255240413184147,17.515540445212498,-14.614196194729564,0.9141264919240251,14.312777308434715,9.897086396881965,3.151719037708745,0.9364537631811529,7.618454048330532,7.942463104749432
tchp,pacific,20,-180,"lat[20,40) lon[-180,-160)",130,43,5.103477983429199,3.656307344012555,0.6971502885678081,0.9357963277230457,5.209126362082846,3.77295974094663,-0.20099824871609842,0.9317173076477584,-0.11665239693407514,-0.10564837865364662
tchp,pacific,0,-140,"lat[0,20) lon[-140,-120)",129,50,18.373001401629125,13.553299798357648,-10.578325786008232,0.8666418411536703,14.077008279750485,10.558175280836242,2.916810541513513,0.8665474502087441,2.995124517521406,4.29599312187864
tchp,pacific,-20,140,"lat[-20,0) lon[140,160)",90,41,35.97159674717131,27.364835800422046,-20.45443857009864,0.9338640396728904,25.648299813802147,20.29571108289442,-1.2497758974200122,0.9501080617073753,7.069124717527625,10.323296933369164
tchp,pacific,20,-160,"lat[20,40) lon[-160,-140)",36,19,4.373709266331456,3.363942519225971,-1.4645555348454886,0.8649983346935873,4.770008194141909,3.722232609014311,-0.2897135129000385,0.8393362398871816,-0.3582900897883401,-0.3962989278104523
tchp,pacific,-40,-160,"lat[-40,-20) lon[-160,-140)",22,12,9.978008714806762,6.062611620026744,1.6043702461723177,0.8092266235079333,9.951039299055745,6.255033475578296,1.8808983397975163,0.800031526467455,-0.19242185555155178,0.026969415751016967
tchp,pacific,-40,-140,"lat[-40,-20) lon[-140,-120)",21,11,5.54098821329615,4.055535053784078,1.6047859472645636,0.9281537991771506,5.489500681919928,3.8240716131039845,1.6743943164858535,0.9206585646170492,0.23146344068009395,0.05148753137622197
tchp,pacific,-20,-120,"lat[-20,0) lon[-120,-100)",21,12,3.6180004638241074,3.074065058276562,-0.6584775473019575,0.9238147510813071,6.00260755107744,4.6422520969241035,3.8945126164188313,0.9361751896826224,-1.5681870386475416,-2.3846070872533325
tchp,pacific,20,-120,"lat[20,40) lon[-120,-100)",16,12,10.08773291120913,8.306764832939123,0.5725262140784655,0.7158608174380948,10.429492266637652,8.732154258768176,0.8476418549124394,0.6992093328128682,-0.4253894258290529,-0.34175935542852187
tchp,pacific,-40,-120,"lat[-40,-20) lon[-120,-100)",10,6,4.4187799955835745,2.7373502699701713,2.0609068721168664,0.8741765279551695,5.051265767376497,2.871990772430887,2.0410946089410213,0.8427498119994667,-0.1346405024607158,-0.6324857717929229
tchp,pacific,-40,160,"lat[-40,-20) lon[160,180)",9,6,6.835901194266249,4.758138619373189,-2.3033175390286074,0.9914967187326749,9.395715636165628,6.431459080023846,-3.2449670471737275,0.9785987751994726,-1.6733204606506566,-2.5598144418993787
tchp,pacific,-40,140,"lat[-40,-20) lon[140,160)",8,6,6.152331738583866,4.842001436715513,2.711734901860362,0.955013221402022,6.41324662549089,4.6914337078258335,-0.704494219526643,0.9409582347241208,0.15056772888967984,-0.2609148869070239
tchp,pacific,-40,-180,"lat[-40,-20) lon[-180,-160)",8,4,6.858166700126453,3.448231184110729,3.0217653026180598,0.9417782765079992,5.614260217486717,3.4451020576066655,2.4633417220162483,0.9586271041374392,0.0031291265040636063,1.2439064826397352
