target,box,box_display,month,rows
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2025-02,216
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2025-03,209
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2025-04,246
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2025-05,173
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2025-06,240
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2025-07,220
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2025-08,136
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2025-09,112
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2025-10,121
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2025-11,111
d26,sw_pacific_fiji,SW Pacific (Fiji sector),2025-12,112
